x,y
0.12000000,0.00015600
0.11400000,0.00176400
0.10800000,0.00325200
0.09600000,0.00586800
0.08400000,0.00802800
0.07200000,0.00976800
0.06000000,0.01102800
0.04800000,0.01176000
0.03600000,0.01171200
0.03000000,0.01129200
0.02400000,0.01056000
0.01800000,0.00946800
0.01200000,0.00790800
0.00900000,0.00691200
0.00600000,0.00567600
0.00300000,0.00406800
0.00150000,0.00292800
0.00000000,0.00000000
0.00150000,-0.00171600
0.00300000,-0.00234000
0.00600000,-0.00298800
0.00900000,-0.00328800
0.01200000,-0.00343200
0.01800000,-0.00345600
0.02400000,-0.00328800
0.03000000,-0.00300000
0.03600000,-0.00271200
0.04800000,-0.00216000
0.06000000,-0.00168000
0.07200000,-0.00120000
0.08400000,-0.00078000
0.09600000,-0.00046800
0.10800000,-0.00026400
0.11400000,-0.00019200
0.12000000,-0.00015600
